name                    status variant        npe    mark   elapsed
pchase                  True   gcc.blend.base 1.044  7.663  34.208
popcnt                  True   gcc.blend.base 0.384  20.821 12.590
popcnt_a4               True   gcc.blend.base 0.267  29.963 8.749
popcnt_u4               True   gcc.blend.base 0.268  29.879 8.774
stream_add_double       True   gcc.blend.base 0.542  14.771 17.747
stream_add_float        True   gcc.blend.base 0.440  9.084  14.429
stream_add_uint32_t     True   gcc.blend.base 0.418  9.561  13.709
stream_add_uint64_t     True   gcc.blend.base 0.496  16.129 16.253
stream_copy_char        True   gcc.blend.base 0.534  1.874  17.484
stream_copy_double      True   gcc.blend.base 0.585  13.669 19.178
stream_copy_float       True   gcc.blend.base 0.526  7.603  17.239
stream_copy_uint32_t    True   gcc.blend.base 0.532  7.514  17.443
stream_copy_uint64_t    True   gcc.blend.base 0.533  15.014 17.459
stream_fma_double       True   gcc.blend.base 0.736  10.863 24.132
stream_fma_float        True   gcc.blend.base 0.561  7.135  18.369
stream_fma_uint32_t     True   gcc.blend.base 0.578  6.922  18.935
stream_fma_uint64_t     True   gcc.blend.base 0.721  11.096 23.624
stream_fma_uint8_t      True   gcc.blend.base 0.570  1.755  18.667
stream_fmac_double      True   gcc.blend.base 0.514  15.574 16.832
stream_fmac_float       True   gcc.blend.base 0.562  7.115  18.423
stream_fmac_uint32_t    True   gcc.blend.base 0.552  7.242  18.099
stream_fmac_uint64_t    True   gcc.blend.base 0.600  13.326 19.671
stream_fmacc_double     True   gcc.blend.base 0.524  15.279 17.157
stream_fmacc_float      True   gcc.blend.base 0.454  8.813  14.872
stream_fmacc_uint32_t   True   gcc.blend.base 0.519  7.712  16.995
stream_fmacc_uint64_t   True   gcc.blend.base 0.550  14.539 18.030
stream_mul_double       True   gcc.blend.base 0.546  14.645 17.900
stream_mul_float        True   gcc.blend.base 0.436  9.174  14.287
stream_mul_uint32_t     True   gcc.blend.base 0.443  9.036  14.506
stream_mul_uint64_t     True   gcc.blend.base 0.515  15.542 16.867
stream_scale_c_double   True   gcc.blend.base 0.336  23.818 11.006
stream_scale_c_float    True   gcc.blend.base 0.332  12.051 10.877
stream_scale_c_uint32_t True   gcc.blend.base 0.523  7.641  17.154
stream_scale_c_uint64_t True   gcc.blend.base 0.343  23.315 11.244
stream_scale_double     True   gcc.blend.base 0.539  14.851 17.652
stream_scale_float      True   gcc.blend.base 0.523  7.647  17.141
stream_scale_uint32_t   True   gcc.blend.base 0.529  7.556  17.346
stream_scale_uint64_t   True   gcc.blend.base 0.550  14.537 18.033
stream_set_char         True   gcc.blend.base 0.266  3.759  8.718
stream_set_double       True   gcc.blend.base 0.524  15.269 17.169
stream_set_float        True   gcc.blend.base 0.567  7.053  18.583
stream_set_uint32_t     True   gcc.blend.base 0.305  13.106 10.001
stream_set_uint64_t     True   gcc.blend.base 0.298  26.855 9.762
stream_setz_char        True   gcc.blend.base 0.264  3.791  8.644
stream_setz_double      True   gcc.blend.base 0.302  26.531 9.881
stream_setz_float       True   gcc.blend.base 0.278  14.368 9.122
stream_setz_uint32_t    True   gcc.blend.base 0.300  13.342 9.824
stream_setz_uint64_t    True   gcc.blend.base 0.295  27.119 9.666
sysbench_cpu            True   gcc.blend.base 29.076 5.744  29.076
